# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,1.070949999999999958e-01,3.457819999999999783e-01,-1.504600000000000104e-01
3.329497981071472168e+02,1.609260000000000135e-01,3.834620000000000251e-01,-9.327900000000000080e-02
2.173597628951072693e+03,2.200539999999999996e-01,4.413119999999999821e-01,-1.760099999999999859e-02
3.631039938509464264e+03,2.583139999999999881e-01,4.784840000000000204e-01,3.839999999999999664e-02
3.989118568181991577e+03,2.953230000000000022e-01,5.057719999999999994e-01,8.254699999999999538e-02
4.067644592463970184e+03,3.288599999999999857e-01,5.332069999999999865e-01,1.247309999999999947e-01
5.346048542439937592e+03,3.593939999999999912e-01,5.585830000000000517e-01,1.639309999999999934e-01
5.493677540481090546e+03,3.874299999999999966e-01,5.760629999999999917e-01,1.948809999999999987e-01
7.236956705808639526e+03,4.132879999999999887e-01,6.290989999999999638e-01,2.608269999999999755e-01
8.176129147291183472e+03,4.366999999999999771e-01,6.500390000000000335e-01,2.948490000000000277e-01
8.273501552581787109e+03,4.571890000000000120e-01,6.644750000000000378e-01,3.208599999999999786e-01
8.392861279010772705e+03,4.029499999999999749e-01,6.053110000000000435e-01,2.559500000000000108e-01
8.750940498709678650e+03,4.242199999999999860e-01,6.245659999999999545e-01,2.836819999999999897e-01
9.796908935844898224e+03,3.798460000000000170e-01,5.450249999999999817e-01,1.967919999999999947e-01
1.023351447975635529e+04,3.999960000000000182e-01,5.645310000000000050e-01,2.259319999999999939e-01
1.049736245423555374e+04,4.203620000000000134e-01,6.059919999999999751e-01,2.761449999999999738e-01
1.208987382137775421e+04,3.556610000000000049e-01,5.461549999999999461e-01,2.076500000000000012e-01
1.308558635574579239e+04,3.556610000000000049e-01,5.461549999999999461e-01,2.076500000000000012e-01
1.316411260014772415e+04,3.556610000000000049e-01,5.461549999999999461e-01,2.076500000000000012e-01
1.324263883441686630e+04,2.888919999999999821e-01,4.780039999999999845e-01,1.293799999999999950e-01
1.344994809567928314e+04,2.246910000000000018e-01,4.013990000000000058e-01,4.719799999999999690e-02
1.402476021707057953e+04,2.888919999999999821e-01,4.780039999999999845e-01,1.293799999999999950e-01
1.423206952857971191e+04,2.246910000000000018e-01,4.013990000000000058e-01,4.719799999999999690e-02
1.431373682290315628e+04,2.909039999999999959e-01,4.866050000000000098e-01,1.381960000000000133e-01
1.497335741907358170e+04,2.909039999999999959e-01,4.866050000000000098e-01,1.381960000000000133e-01
1.519008991092443466e+04,3.566590000000000038e-01,5.461549999999999461e-01,2.060180000000000067e-01
1.535656560999155045e+04,4.232360000000000011e-01,6.074709999999999832e-01,2.776370000000000227e-01
1.741709535270929337e+04,3.573959999999999915e-01,5.457210000000000116e-01,2.065329999999999944e-01
2.324060833132266998e+04,3.573959999999999915e-01,5.457210000000000116e-01,2.065329999999999944e-01
2.412638576972484589e+04,3.573959999999999915e-01,5.457210000000000116e-01,2.065329999999999944e-01
2.443106809645891190e+04,3.573959999999999915e-01,5.457210000000000116e-01,2.065329999999999944e-01
2.536710252761840820e+04,3.572799999999999865e-01,5.435039999999999871e-01,2.056330000000000102e-01
2.570633651620149612e+04,2.914470000000000116e-01,4.622879999999999767e-01,1.143860000000000016e-01
