# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,6.180090000000000305e-01,8.302370000000000028e-01,4.516100000000000114e-01
5.402538993954658508e+02,6.408509999999999485e-01,8.442220000000000280e-01,4.870200000000000085e-01
5.873690619468688965e+02,6.614900000000000224e-01,8.518499999999999961e-01,5.119200000000000417e-01
7.632656114697456360e+02,6.788239999999999830e-01,8.615620000000000500e-01,5.365079999999999849e-01
8.229448047280311584e+02,5.893629999999999702e-01,7.841669999999999474e-01,4.271920000000000162e-01
8.637779269218444824e+02,5.179850000000000287e-01,7.337970000000000326e-01,3.637380000000000058e-01
2.211270299971103668e+03,5.406809999999999672e-01,7.483600000000000252e-01,3.937959999999999794e-01
2.311782505452632904e+03,5.591679999999999984e-01,7.715940000000000021e-01,4.289060000000000095e-01
2.387166639566421509e+03,4.946320000000000161e-01,7.039320000000000022e-01,3.474189999999999778e-01
2.660434134364128113e+03,5.139470000000000427e-01,7.186420000000000030e-01,3.747260000000000035e-01
2.980816621780395508e+03,5.328939999999999788e-01,7.269290000000000473e-01,3.942910000000000026e-01
3.005944663107395172e+03,4.722649999999999904e-01,6.612350000000000172e-01,3.192240000000000077e-01
3.260366026937961578e+03,4.923210000000000086e-01,6.750099999999999989e-01,3.415989999999999860e-01
3.718952621817588806e+03,5.090679999999999650e-01,6.872800000000000020e-01,3.630499999999999838e-01
4.083309041559696198e+03,5.260169999999999568e-01,6.973139999999999894e-01,3.834710000000000063e-01
5.305159307777881622e+03,4.756259999999999932e-01,6.456819999999999782e-01,3.262570000000000192e-01
5.848552737355232239e+03,4.774439999999999795e-01,6.503290000000000459e-01,3.277349999999999985e-01
5.886244779348373413e+03,5.426769999999999650e-01,7.118200000000000083e-01,4.044139999999999957e-01
6.486176261842250824e+03,5.431730000000000169e-01,7.084489999999999954e-01,4.019929999999999892e-01
6.539573284864425659e+03,5.443900000000000405e-01,7.086710000000000509e-01,4.018689999999999762e-01
7.585527011513710022e+03,5.443900000000000405e-01,7.086710000000000509e-01,4.018689999999999762e-01
7.686039076983928680e+03,5.455130000000000257e-01,7.160889999999999755e-01,4.103550000000000253e-01
8.691159721493721008e+03,5.496480000000000254e-01,7.279590000000000227e-01,4.199249999999999927e-01
8.907888843238353729e+03,4.813810000000000033e-01,6.475720000000000365e-01,3.263199999999999990e-01
9.479551114261150360e+03,4.151989999999999847e-01,5.948780000000000179e-01,2.617820000000000147e-01
