# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,3.690109999999999779e-01,5.947249999999999481e-01,1.319919999999999982e-01
1.005133056640625000e+02,2.881920000000000037e-01,5.174560000000000271e-01,5.570900000000000157e-02
1.382057980298995972e+02,3.295239999999999836e-01,5.498680000000000234e-01,1.054549999999999932e-01
2.261549229621887207e+02,3.628680000000000239e-01,5.713160000000000460e-01,1.494159999999999933e-01
2.638474050760269165e+02,3.007850000000000246e-01,4.968739999999999823e-01,7.277999999999999747e-02
2.858346762657165527e+02,3.317689999999999806e-01,5.303350000000000009e-01,1.189869999999999955e-01
2.983988372087478638e+02,2.703430000000000000e-01,4.642919999999999825e-01,5.257799999999999974e-02
3.172450782060623169e+02,3.019950000000000134e-01,4.971559999999999868e-01,9.730500000000000260e-02
5.151305495500564575e+02,2.476359999999999950e-01,4.369620000000000171e-01,4.339599999999999708e-02
5.308357405662536621e+02,2.773769999999999847e-01,4.675989999999999869e-01,8.291199999999999959e-02
5.842333935499191284e+02,3.062179999999999902e-01,4.893549999999999844e-01,1.155660000000000021e-01
6.282079261541366577e+02,3.314779999999999949e-01,5.102659999999999973e-01,1.463490000000000069e-01
6.721824586391448975e+02,2.838419999999999832e-01,4.552370000000000028e-01,9.195799999999999808e-02
7.255801117420196533e+02,3.074450000000000238e-01,4.828990000000000227e-01,1.288310000000000011e-01
7.758367047309875488e+02,3.279059999999999753e-01,4.975370000000000070e-01,1.536009999999999875e-01
8.480805687904357910e+02,3.498539999999999983e-01,5.455600000000000449e-01,2.100190000000000112e-01
8.512216089963912964e+02,3.498539999999999983e-01,5.455600000000000449e-01,2.100190000000000112e-01
9.046192319393157959e+02,2.824619999999999909e-01,4.436689999999999801e-01,9.559700000000000142e-02
1.052247950434684753e+03,2.824619999999999909e-01,4.436689999999999801e-01,9.559700000000000142e-02
1.159043176531791687e+03,2.181559999999999888e-01,3.779440000000000022e-01,2.433899999999999952e-02
1.256415272235870361e+03,2.824619999999999909e-01,4.436689999999999801e-01,9.559700000000000142e-02
1.278402513504028320e+03,3.474499999999999811e-01,5.157920000000000282e-01,1.763589999999999880e-01
1.306671835064888000e+03,2.824619999999999909e-01,4.436689999999999801e-01,9.559700000000000142e-02
1.375774599075317383e+03,2.824619999999999909e-01,4.436689999999999801e-01,9.559700000000000142e-02
1.378915629267692566e+03,2.175940000000000096e-01,3.782269999999999799e-01,2.333800000000000111e-02
1.410325981140136719e+03,2.175940000000000096e-01,3.782269999999999799e-01,2.333800000000000111e-02
1.444877353191375732e+03,1.545110000000000094e-01,3.367169999999999885e-01,-2.386699999999999933e-02
1.513980107188224792e+03,9.148699999999999888e-02,2.698499999999999788e-01,-9.031599999999999351e-02
1.573659750461578369e+03,9.148699999999999888e-02,2.698499999999999788e-01,-9.031599999999999351e-02
1.623916283369064331e+03,9.047600000000000087e-02,2.616100000000000092e-01,-9.918899999999999939e-02
1.821801354765892029e+03,1.497259999999999980e-01,3.247909999999999964e-01,-3.072000000000000078e-02
1.834365485548973083e+03,1.497259999999999980e-01,3.247909999999999964e-01,-3.072000000000000078e-02
1.887763038635253906e+03,2.133700000000000041e-01,3.750839999999999730e-01,2.433899999999999952e-02
1.912891300082206726e+03,2.779229999999999756e-01,4.415330000000000088e-01,9.588299999999999601e-02
1.916032330155372620e+03,2.779229999999999756e-01,4.415330000000000088e-01,9.588299999999999601e-02
1.919173360347747803e+03,2.798249999999999904e-01,4.415330000000000088e-01,9.747899999999999621e-02
2.013404315829277039e+03,3.467199999999999727e-01,5.013640000000000319e-01,1.656070000000000042e-01
2.044814627647399902e+03,3.478879999999999750e-01,4.949569999999999803e-01,1.619819999999999871e-01
2.051096688032150269e+03,4.108780000000000210e-01,5.730380000000000473e-01,2.478309999999999957e-01
2.139045572996139526e+03,3.467350000000000154e-01,5.013640000000000319e-01,1.656670000000000087e-01
2.242699579000473022e+03,3.467350000000000154e-01,5.013640000000000319e-01,1.656670000000000087e-01
2.296097092032432556e+03,3.458240000000000203e-01,5.133600000000000385e-01,1.792420000000000124e-01
2.308661222815513611e+03,3.461429999999999785e-01,5.139380000000000059e-01,1.789370000000000127e-01
2.443725500464439392e+03,3.461429999999999785e-01,5.139380000000000059e-01,1.789370000000000127e-01
2.537956385970115662e+03,4.113879999999999759e-01,5.719830000000000192e-01,2.475529999999999953e-01
2.585071818709373474e+03,3.461429999999999785e-01,5.139380000000000059e-01,1.789370000000000127e-01
2.622764170765876770e+03,3.467350000000000154e-01,5.013640000000000319e-01,1.656670000000000087e-01
2.704430905580520630e+03,3.478879999999999750e-01,4.949569999999999803e-01,1.619819999999999871e-01
2.716995016455650330e+03,3.463410000000000100e-01,5.129270000000000218e-01,1.795120000000000049e-01
2.817507912158966064e+03,4.141739999999999866e-01,5.752260000000000151e-01,2.522929999999999895e-01
2.880328475594520569e+03,4.785739999999999994e-01,6.345570000000000377e-01,3.219949999999999757e-01
2.943149019241333008e+03,4.785739999999999994e-01,6.345570000000000377e-01,3.219949999999999757e-01
2.949431069731712341e+03,4.764059999999999961e-01,6.341809999999999947e-01,3.208679999999999866e-01
3.062508046150207520e+03,4.764059999999999961e-01,6.341809999999999947e-01,3.208679999999999866e-01
3.084495227456092834e+03,5.399040000000000505e-01,7.166860000000000452e-01,4.181119999999999837e-01
3.093918317914009094e+03,5.399040000000000505e-01,7.166860000000000452e-01,4.181119999999999837e-01
3.125328569769859314e+03,6.081830000000000291e-01,7.580000000000000071e-01,4.775409999999999933e-01
3.228982445836067200e+03,6.081830000000000291e-01,7.580000000000000071e-01,4.775409999999999933e-01
3.247828596830368042e+03,6.727269999999999639e-01,8.180330000000000101e-01,5.593230000000000146e-01
3.266674757957458496e+03,6.727269999999999639e-01,8.180330000000000101e-01,5.593230000000000146e-01
3.282379878878593445e+03,6.727269999999999639e-01,8.180330000000000101e-01,5.593230000000000146e-01
3.320072190999984741e+03,6.720420000000000282e-01,8.206719999999999571e-01,5.611009999999999609e-01
3.326354241371154785e+03,6.727269999999999639e-01,8.180330000000000101e-01,5.593230000000000146e-01
3.426867047190666199e+03,6.781509999999999483e-01,8.174150000000000027e-01,5.593230000000000146e-01
