# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,-8.607050000000000534e-01,-7.940190000000000303e-01,-1.000000000000000000e+00
9.723020434379577637e+00,-8.690090000000000314e-01,-8.060519999999999907e-01,-1.000000000000000000e+00
2.592800146341323853e+01,-8.758390000000000342e-01,-8.158410000000000384e-01,-9.997270000000000323e-01
4.537404239177703857e+01,-8.881059999999999510e-01,-8.277139999999999498e-01,-9.999980000000000535e-01
9.398916462063789368e+01,-7.941829999999999723e-01,-6.928119999999999834e-01,-9.429870000000000196e-01
9.723016479611396790e+01,-8.039680000000000160e-01,-7.111049999999999871e-01,-9.491559999999999997e-01
1.069532051682472229e+02,-8.125580000000000025e-01,-7.246569999999999956e-01,-9.524700000000000388e-01
1.199172158241271973e+02,-8.208079999999999821e-01,-7.443779999999999841e-01,-9.627559999999999452e-01
1.263992559909820557e+02,-8.280910000000000215e-01,-7.483250000000000179e-01,-9.573049999999999615e-01
1.555683173835277557e+02,-8.405470000000000441e-01,-7.688829999999999831e-01,-9.719109999999999694e-01
1.588093374669551849e+02,-8.468189999999999884e-01,-7.808819999999999650e-01,-9.763460000000000472e-01
2.009424394071102142e+02,-8.525300000000000100e-01,-7.824630000000000196e-01,-9.706719999999999793e-01
2.657626122832298279e+02,-8.606629999999999558e-01,-7.924339999999999717e-01,-9.779459999999999820e-01
2.722446126341819763e+02,-8.655530000000000168e-01,-7.971489999999999965e-01,-9.765310000000000379e-01
2.787266329228878021e+02,-8.709500000000000020e-01,-8.075520000000000476e-01,-9.798090000000000410e-01
2.787266329228878021e+02,-8.751499999999999835e-01,-8.119070000000000453e-01,-9.800480000000000302e-01
3.111367143988609314e+02,-8.751499999999999835e-01,-8.119070000000000453e-01,-9.800480000000000302e-01
3.759568872451782227e+02,-8.753389999999999782e-01,-8.134719999999999729e-01,-9.799670000000000325e-01
4.699461215138435364e+02,-8.067069999999999519e-01,-7.224899999999999656e-01,-9.277079999999999771e-01
4.731871216893196106e+02,-8.053599999999999648e-01,-7.223190000000000444e-01,-9.286649999999999627e-01
4.796691419780254364e+02,-8.037539999999999685e-01,-7.223190000000000444e-01,-9.272810000000000219e-01
5.380073045492172241e+02,-8.132289999999999797e-01,-7.266880000000000006e-01,-9.298189999999999511e-01
5.380073045492172241e+02,-7.468679999999999763e-01,-6.472980000000000400e-01,-8.826000000000000512e-01
