# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,-6.085949999999999971e-01,-4.660440000000000138e-01,-1.000000000000000000e+00
2.268698082864284515e+01,-5.043840000000000545e-01,-2.175400000000000111e-01,-8.028809999999999558e-01
1.157035952299833298e+03,-4.195160000000000000e-01,-1.134560000000000013e-01,-6.818210000000000104e-01
3.185900446504354477e+03,-3.279529999999999945e-01,-7.504600000000000160e-02,-6.249219999999999775e-01
3.966980885148048401e+03,-3.983670000000000266e-01,-1.328820000000000001e-01,-6.798710000000000031e-01
4.375346719980239868e+03,-4.526689999999999880e-01,-1.809979999999999922e-01,-7.140269999999999673e-01
4.955485401213169098e+03,-5.001539999999999875e-01,-2.273159999999999903e-01,-7.443790000000000129e-01
5.059197325035929680e+03,-4.225869999999999904e-01,-1.569579999999999864e-01,-6.722099999999999742e-01
5.098089296460151672e+03,-3.434719999999999995e-01,-1.024670000000000025e-01,-5.980889999999999818e-01
5.665263937219977379e+03,-3.744990000000000263e-01,-1.460559999999999914e-01,-6.282950000000000479e-01
5.762493880748748779e+03,-3.200149999999999939e-01,-8.636299999999999533e-02,-5.588830000000000187e-01
6.093075642883777618e+03,-3.945960000000000023e-01,-1.414120000000000099e-01,-6.249099999999999655e-01
6.154654625058174133e+03,-4.509310000000000263e-01,-2.135400000000000076e-01,-6.883000000000000229e-01
6.469031406596302986e+03,-5.001079999999999970e-01,-2.673249999999999793e-01,-7.514060000000000183e-01
7.444571972280740738e+03,-5.359760000000000080e-01,-3.093920000000000003e-01,-7.785720000000000418e-01
7.930721730053424835e+03,-5.853059999999999929e-01,-3.447009999999999796e-01,-8.176440000000000374e-01
8.552993382841348648e+03,-4.966840000000000144e-01,-2.508650000000000047e-01,-7.219950000000000534e-01
8.984046128600835800e+03,-5.066619999999999457e-01,-2.470829999999999971e-01,-7.247270000000000101e-01
9.256289978489279747e+03,-4.543369999999999909e-01,-2.084139999999999882e-01,-7.070920000000000538e-01
1.100966996265947819e+04,-3.623170000000000002e-01,-1.162580000000000002e-01,-5.981809999999999627e-01
1.136942082577943802e+04,-4.239470000000000183e-01,-1.680699999999999972e-01,-6.345370000000000177e-01
1.201437950938940048e+04,-4.223890000000000144e-01,-1.848349999999999993e-01,-6.482369999999999521e-01
1.229310536959767342e+04,-4.219229999999999925e-01,-1.798130000000000006e-01,-6.407739999999999547e-01
1.247460128618776798e+04,-5.534719999999999640e-01,-2.790420000000000122e-01,-7.769479999999999720e-01
1.249080627678334713e+04,-5.647999999999999687e-01,-2.998890000000000167e-01,-8.027870000000000283e-01
1.291213603223860264e+04,-5.628579999999999695e-01,-2.681740000000000235e-01,-7.768239999999999590e-01
1.509008667184412479e+04,-4.699650000000000216e-01,-2.140819999999999945e-01,-7.155010000000000536e-01
1.613692921015620232e+04,-4.767469999999999763e-01,-2.011719999999999897e-01,-7.159370000000000456e-01
1.730692962296307087e+04,-4.041469999999999785e-01,-1.667829999999999868e-01,-6.877879999999999550e-01
1.778335637035965919e+04,-3.269400000000000084e-01,-3.532899999999999929e-02,-5.563500000000000112e-01
1.921263649260997772e+04,-3.245580000000000132e-01,-3.658100000000000240e-02,-5.591080000000000494e-01
1.963072521790862083e+04,-3.991109999999999935e-01,-1.090600000000000042e-01,-6.328740000000000476e-01
2.096601654678583145e+04,-4.782480000000000064e-01,-2.011050000000000060e-01,-7.149419999999999664e-01
2.179247115699946880e+04,-5.809480000000000199e-01,-3.318650000000000211e-01,-8.437130000000000463e-01
2.259947973646223545e+04,-6.930199999999999694e-01,-5.763070000000000137e-01,-1.000000000000000000e+00
2.279069861350953579e+04,-7.861270000000000202e-01,-6.751629999999999576e-01,-1.000000000000000000e+00
2.312776241579651833e+04,-6.870260000000000256e-01,-5.685609999999999831e-01,-1.000000000000000000e+00
2.348103120869398117e+04,-6.718020000000000103e-01,-5.555280000000000218e-01,-1.000000000000000000e+00
2.596363584949076176e+04,-6.585569999999999480e-01,-5.404630000000000267e-01,-1.000000000000000000e+00
2.635255565373599529e+04,-7.472990000000000466e-01,-6.329299999999999926e-01,-9.999989999999999712e-01
2.720169720478355885e+04,-8.161140000000000061e-01,-7.168750000000000400e-01,-1.000000000000000000e+00
