# Time,Median,Upper Error,Lower Error
3.818054512560367584e+03,8.772050000000000125e-01,1.000000000000000000e+00,7.812360000000000415e-01
1.030422005677223206e+04,8.869340000000000002e-01,1.000000000000000000e+00,7.954710000000000392e-01
1.243067667305469513e+04,7.844410000000000549e-01,1.000000000000000000e+00,6.696069999999999522e-01
1.829806335633993149e+04,8.147919999999999607e-01,1.000000000000000000e+00,7.064179999999999904e-01
2.031458482712507248e+04,8.323390000000000510e-01,1.000000000000000000e+00,7.324619999999999465e-01
2.456435671955347061e+04,8.422030000000000349e-01,1.000000000000000000e+00,7.482119999999999882e-01
2.755144687885046005e+04,8.550569999999999560e-01,1.000000000000000000e+00,7.671440000000000481e-01
2.980982522177696228e+04,8.641529999999999490e-01,1.000000000000000000e+00,7.820300000000000029e-01
3.004854117363691330e+04,7.808789999999999898e-01,1.000000000000000000e+00,6.888210000000000166e-01
3.742046603214740753e+04,7.885710000000000219e-01,1.000000000000000000e+00,7.007060000000000510e-01
5.105554284363985062e+04,6.997459999999999791e-01,9.143689999999999873e-01,5.303139999999999521e-01
5.333904911786317825e+04,7.141769999999999508e-01,9.187739999999999796e-01,5.500089999999999701e-01
5.724645188325643539e+04,7.261499999999999622e-01,9.313449999999999784e-01,5.783770000000000300e-01
6.706521476393938065e+04,7.367719999999999825e-01,9.321810000000000374e-01,5.933159999999999545e-01
7.440572931092977524e+04,7.464250000000000052e-01,9.389170000000000016e-01,6.101339999999999542e-01
7.776345716875791550e+04,7.553980000000000139e-01,9.398459999999999592e-01,6.217430000000000456e-01
8.446006695342063904e+04,8.361960000000000504e-01,1.000000000000000000e+00,7.663860000000000117e-01
8.559396756005287170e+04,8.377010000000000289e-01,1.000000000000000000e+00,7.681569999999999787e-01
8.886374748349189758e+04,7.608690000000000175e-01,9.362089999999999579e-01,6.218749999999999556e-01
9.016412103855609894e+04,7.589489999999999847e-01,9.354700000000000237e-01,6.221950000000000536e-01
9.039027295988798141e+04,7.484129999999999949e-01,9.222190000000000110e-01,6.144089999999999829e-01
9.161840352118015289e+04,6.586859999999999937e-01,8.502009999999999845e-01,5.174699999999999855e-01
9.229057729482650757e+04,7.426289999999999836e-01,9.164649999999999741e-01,6.119649999999999812e-01
9.297531503903865814e+04,7.420189999999999841e-01,9.076060000000000239e-01,6.054859999999999687e-01
9.359723284006118774e+04,7.393459999999999477e-01,9.132439999999999447e-01,6.116850000000000342e-01
9.419716363012790680e+04,7.383520000000000083e-01,9.076060000000000239e-01,6.057540000000000147e-01
9.435735456812381744e+04,7.349980000000000402e-01,8.918519999999999781e-01,5.948639999999999484e-01
9.519600129002332687e+04,7.208649999999999780e-01,8.777030000000000109e-01,5.812929999999999486e-01
9.525882126319408417e+04,7.096240000000000325e-01,8.731799999999999562e-01,5.825630000000000530e-01
9.682932071167230606e+04,7.079260000000000552e-01,8.711839999999999584e-01,5.806930000000000147e-01
9.856001111817359924e+04,7.043329999999999869e-01,8.713880000000000514e-01,5.814120000000000399e-01
9.864167708230018616e+04,6.845459999999999878e-01,8.413260000000000183e-01,5.481589999999999518e-01
1.001053825954794884e+05,6.706480000000000219e-01,8.342829999999999968e-01,5.291850000000000165e-01
1.023574787779450417e+05,6.556429999999999758e-01,8.169980000000000020e-01,5.112360000000000237e-01
1.024611317331790924e+05,7.220360000000000111e-01,8.818380000000000107e-01,5.969539999999999846e-01
1.030202295211553574e+05,7.027640000000000553e-01,8.652490000000000459e-01,5.708259999999999446e-01
1.044713709836602211e+05,6.877229999999999732e-01,8.657979999999999565e-01,5.639969999999999706e-01
1.069778881089091301e+05,6.740220000000000100e-01,8.593370000000000175e-01,5.462590000000000501e-01
1.072291680315136909e+05,6.558300000000000241e-01,8.432640000000000136e-01,5.195130000000000026e-01
1.087619754581451416e+05,6.398470000000000546e-01,8.364829999999999766e-01,4.978569999999999940e-01
1.090509473925232887e+05,7.286759999999999904e-01,9.047330000000000094e-01,5.934030000000000138e-01
1.092362663118243217e+05,7.147689999999999877e-01,8.972970000000000113e-01,5.710739999999999705e-01
1.105240758461952209e+05,8.166459999999999830e-01,1.000000000000000000e+00,7.380879999999999663e-01
1.113470175573825836e+05,8.049279999999999768e-01,1.000000000000000000e+00,7.226350000000000273e-01
1.118181673809289932e+05,7.925229999999999775e-01,1.000000000000000000e+00,7.052730000000000388e-01
1.142744284936785698e+05,7.785769999999999635e-01,1.000000000000000000e+00,6.856459999999999777e-01
