# Time,Median,Upper Error,Lower Error
0.000000000000000000e+00,-2.501050000000000217e-01,-4.554699999999999721e-02,-5.143980000000000219e-01
9.261730492115020752e+00,-2.943580000000000085e-01,-8.879800000000000193e-02,-5.369340000000000224e-01
1.896451091766357422e+01,-3.320150000000000046e-01,-1.351779999999999926e-01,-5.632559999999999789e-01
3.263663151860237122e+01,-3.665760000000000129e-01,-1.796099999999999919e-01,-5.888839999999999630e-01
3.307765161991119385e+01,-2.979849999999999999e-01,-1.176520000000000066e-01,-5.294600000000000417e-01
3.528282168507575989e+01,-3.316640000000000144e-01,-1.452970000000000095e-01,-5.449079999999999480e-01
3.704696178436279297e+01,-3.614629999999999788e-01,-1.922609999999999875e-01,-5.776890000000000081e-01
5.160114246606826782e+01,-3.892140000000000044e-01,-2.355490000000000084e-01,-6.065669999999999673e-01
5.777564272284507751e+01,-4.145199999999999996e-01,-2.601640000000000064e-01,-6.192440000000000166e-01
6.880153322219848633e+01,-4.388819999999999943e-01,-2.857990000000000252e-01,-6.324710000000000054e-01
8.511985397338867188e+01,-4.605940000000000034e-01,-3.038270000000000137e-01,-6.402940000000000298e-01
8.556089395284652710e+01,-4.062060000000000115e-01,-2.618610000000000104e-01,-6.046820000000000528e-01
8.908917412161827087e+01,-4.278140000000000276e-01,-2.826679999999999748e-01,-6.153110000000000523e-01
8.953021413087844849e+01,-4.477979999999999738e-01,-3.017989999999999839e-01,-6.258080000000000309e-01
9.658676451444625854e+01,-3.992510000000000225e-01,-2.684790000000000232e-01,-5.973450000000000149e-01
9.879194462299346924e+01,-4.187879999999999936e-01,-2.794630000000000170e-01,-5.977890000000000148e-01
1.018792047202587128e+02,-4.187879999999999936e-01,-2.794630000000000170e-01,-5.977890000000000148e-01
1.084947449862957001e+02,-3.547779999999999823e-01,-2.008089999999999875e-01,-5.295630000000000059e-01
1.243720257282257080e+02,-3.576500000000000234e-01,-1.961789999999999923e-01,-5.291350000000000220e-01
1.583317473530769348e+02,-2.959820000000000229e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
1.724448879957199097e+02,-2.959820000000000229e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
1.768552381992340088e+02,-2.980590000000000184e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
1.803835382759571075e+02,-2.980590000000000184e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
1.878811386525630951e+02,-2.980590000000000184e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
1.922914988398551941e+02,-2.980590000000000184e-01,-1.389960000000000084e-01,-4.798419999999999908e-01
2.103739497065544128e+02,-3.606690000000000174e-01,-1.982790000000000108e-01,-5.298239999999999617e-01
2.121380897760391235e+02,-4.236770000000000258e-01,-2.681520000000000015e-01,-5.920450000000000434e-01
2.200767301321029663e+02,-4.884290000000000020e-01,-3.344770000000000243e-01,-6.469340000000000090e-01
2.209588101506233215e+02,-4.236770000000000258e-01,-2.681520000000000015e-01,-5.920450000000000434e-01
2.324257207214832306e+02,-3.575079999999999925e-01,-1.991209999999999924e-01,-5.325250000000000261e-01
2.416874811053276062e+02,-3.575079999999999925e-01,-1.991209999999999924e-01,-5.325250000000000261e-01
2.430105811953544617e+02,-4.236770000000000258e-01,-2.681520000000000015e-01,-5.920450000000000434e-01
2.562416517436504364e+02,-4.884290000000000020e-01,-3.344770000000000243e-01,-6.469340000000000090e-01
2.813806629776954651e+02,-4.884290000000000020e-01,-3.344770000000000243e-01,-6.469340000000000090e-01
2.884372432529926300e+02,-4.884290000000000020e-01,-3.344770000000000243e-01,-6.469340000000000090e-01
2.924065634608268738e+02,-4.884290000000000020e-01,-3.344770000000000243e-01,-6.469340000000000090e-01
2.990220937132835388e+02,-5.531500000000000306e-01,-4.192500000000000115e-01,-7.149069999999999592e-01
3.047555539906024933e+02,-5.531500000000000306e-01,-4.192500000000000115e-01,-7.149069999999999592e-01
3.109300543069839478e+02,-5.522660000000000347e-01,-4.132890000000000175e-01,-7.086430000000000229e-01
3.118121143877506256e+02,-5.522660000000000347e-01,-4.132890000000000175e-01,-7.086430000000000229e-01
3.122531543672084808e+02,-4.923500000000000099e-01,-3.385850000000000248e-01,-6.518730000000000357e-01
3.166635045707225800e+02,-4.271519999999999762e-01,-2.955030000000000157e-01,-6.196960000000000246e-01
3.179866046905517578e+02,-4.271519999999999762e-01,-2.955030000000000157e-01,-6.196960000000000246e-01
3.193097246885299683e+02,-4.304850000000000065e-01,-2.833169999999999855e-01,-6.087409999999999766e-01
3.223969648480415344e+02,-3.634109999999999840e-01,-2.159210000000000018e-01,-5.500720000000000054e-01
3.395973556041717529e+02,-3.634109999999999840e-01,-2.159210000000000018e-01,-5.500720000000000054e-01
3.404794157147407532e+02,-3.634109999999999840e-01,-2.159210000000000018e-01,-5.500720000000000054e-01
3.448897759020328522e+02,-2.952679999999999749e-01,-1.368949999999999889e-01,-4.801469999999999905e-01
3.479770359694957733e+02,-3.623580000000000134e-01,-2.181680000000000008e-01,-5.510260000000000158e-01
3.585618864595890045e+02,-3.623580000000000134e-01,-2.181680000000000008e-01,-5.510260000000000158e-01
3.594439465701580048e+02,-3.637090000000000045e-01,-2.252109999999999945e-01,-5.593920000000000003e-01
3.665005268454551697e+02,-4.259629999999999805e-01,-2.539129999999999998e-01,-5.810110000000000552e-01
3.739981272220611572e+02,-4.290289999999999937e-01,-2.961289999999999756e-01,-6.191419999999999702e-01
4.083988887965679169e+02,-3.587529999999999886e-01,-1.967689999999999995e-01,-5.298429999999999529e-01
4.106040689051151276e+02,-3.587529999999999886e-01,-1.967689999999999995e-01,-5.298429999999999529e-01
4.304506797790527344e+02,-4.243270000000000097e-01,-2.650620000000000198e-01,-5.883089999999999709e-01
4.427996703088283539e+02,-3.587529999999999886e-01,-1.967689999999999995e-01,-5.298429999999999529e-01
4.502972706854343414e+02,-3.612679999999999780e-01,-2.252109999999999945e-01,-5.593920000000000003e-01
4.974880628287792206e+02,-2.951309999999999767e-01,-1.586339999999999972e-01,-5.014889999999999626e-01
5.173346537947654724e+02,-2.952679999999999749e-01,-1.368949999999999889e-01,-4.801469999999999905e-01
5.195398339033126831e+02,-3.623580000000000134e-01,-2.181680000000000008e-01,-5.510260000000000158e-01
5.371812646389007568e+02,-4.278859999999999886e-01,-2.833169999999999855e-01,-6.085679999999999978e-01
5.380633247494697571e+02,-4.302949999999999831e-01,-2.936219999999999941e-01,-6.190890000000000004e-01
5.565868055820465088e+02,-4.302949999999999831e-01,-2.936219999999999941e-01,-6.190890000000000004e-01
5.654075259566307068e+02,-4.302949999999999831e-01,-2.936219999999999941e-01,-6.190890000000000004e-01
5.724640763103961945e+02,-3.629789999999999961e-01,-2.218130000000000102e-01,-5.564160000000000217e-01
5.896644670665264130e+02,-2.990959999999999730e-01,-1.511379999999999946e-01,-4.959620000000000140e-01
6.117162381410598755e+02,-2.990959999999999730e-01,-1.511379999999999946e-01,-4.959620000000000140e-01
6.258293687701225281e+02,-2.971360000000000112e-01,-1.564820000000000100e-01,-5.008519999999999639e-01
6.320038690567016602e+02,-2.977810000000000179e-01,-1.368790000000000007e-01,-4.802589999999999915e-01
6.395014594197273254e+02,-2.327009999999999912e-01,-7.244899999999999951e-02,-4.225119999999999987e-01
6.461169997453689575e+02,-2.327009999999999912e-01,-7.244899999999999951e-02,-4.225119999999999987e-01
6.593480702936649323e+02,-2.921670000000000100e-01,-1.377510000000000123e-01,-4.816579999999999750e-01
6.597891102731227875e+02,-3.587529999999999886e-01,-2.145120000000000082e-01,-5.500720000000000054e-01
6.796357012391090393e+02,-3.609800000000000231e-01,-2.145120000000000082e-01,-5.507379999999999498e-01
6.805177812278270721e+02,-3.627560000000000229e-01,-2.085079999999999989e-01,-5.408589999999999787e-01
6.915436517894268036e+02,-4.289270000000000027e-01,-2.832169999999999965e-01,-6.086380000000000123e-01
6.950719518959522247e+02,-4.315459999999999852e-01,-2.954689999999999817e-01,-6.214480000000000004e-01
7.056567824482917786e+02,-4.934330000000000105e-01,-3.763199999999999878e-01,-6.895440000000000458e-01
7.065388624668121338e+02,-4.934330000000000105e-01,-3.763199999999999878e-01,-6.895440000000000458e-01
7.069799024462699890e+02,-4.934330000000000105e-01,-3.763199999999999878e-01,-6.895440000000000458e-01
7.149185328483581543e+02,-5.569030000000000369e-01,-4.474330000000000251e-01,-7.457679999999999865e-01
7.206519930958747864e+02,-4.934330000000000105e-01,-3.763199999999999878e-01,-6.895440000000000458e-01
7.303547635972499847e+02,-4.935080000000000022e-01,-3.405340000000000034e-01,-6.548349999999999449e-01
7.360882238745689392e+02,-4.957570000000000032e-01,-3.404889999999999861e-01,-6.548349999999999449e-01
7.409396140277385712e+02,-4.936420000000000252e-01,-3.385850000000000248e-01,-6.518730000000000357e-01
7.524065445065498352e+02,-4.936420000000000252e-01,-3.385850000000000248e-01,-6.518730000000000357e-01
7.709300154745578766e+02,-4.936420000000000252e-01,-3.385850000000000248e-01,-6.518730000000000357e-01
7.850431660115718842e+02,-4.936420000000000252e-01,-3.385850000000000248e-01,-6.518730000000000357e-01
7.929817963838577271e+02,-4.911070000000000157e-01,-3.404889999999999861e-01,-6.513200000000000101e-01
7.982742166817188263e+02,-4.899319999999999786e-01,-3.396330000000000182e-01,-6.505549999999999944e-01
