# Time,Median,Upper Error,Lower Error
2.541257095754146576e+03,-6.343969999999999887e-01,-4.360339999999999772e-01,-9.071780000000000399e-01
2.771368515104055405e+03,-5.229319999999999524e-01,-3.191990000000000105e-01,-8.054160000000000208e-01
3.098710118412971497e+03,-5.507680000000000353e-01,-3.484900000000000220e-01,-8.114050000000000429e-01
3.555691907078027725e+03,-5.761359999999999815e-01,-3.832650000000000223e-01,-8.243540000000000312e-01
3.555691907078027725e+03,-6.205429999999999557e-01,-4.225079999999999947e-01,-8.497270000000000101e-01
3.785803286552429199e+03,-6.394509999999999916e-01,-4.495029999999999859e-01,-8.574950000000000072e-01
4.625223680764436722e+03,-6.570599999999999774e-01,-4.927369999999999806e-01,-8.831219999999999626e-01
4.732176855117082596e+03,-7.012380000000000280e-01,-5.307610000000000383e-01,-9.005969999999999809e-01
4.946083203822374344e+03,-7.201560000000000183e-01,-5.700610000000000399e-01,-9.259340000000000348e-01
5.241014655888080597e+03,-7.332349999999999701e-01,-5.894319999999999560e-01,-9.298870000000000191e-01
5.351208820402622223e+03,-7.444659999999999611e-01,-6.062920000000000531e-01,-9.339509999999999756e-01
5.568356149286031723e+03,-7.709200000000000497e-01,-6.880479999999999929e-01,-9.999989999999999712e-01
6.116085971623659134e+03,-7.016179999999999639e-01,-5.371310000000000251e-01,-8.766589999999999661e-01
6.167942063719034195e+03,-7.161960000000000548e-01,-5.569420000000000481e-01,-8.862900000000000222e-01
6.816142980217933655e+03,-7.310459999999999736e-01,-5.894500000000000295e-01,-9.073099999999999499e-01
7.227750566959381104e+03,-7.456220000000000070e-01,-6.010619999999999852e-01,-9.109680000000000000e-01
7.266642618566751480e+03,-8.180100000000000149e-01,-7.431379999999999653e-01,-1.000000000000000000e+00
7.525922969192266464e+03,-8.779390000000000249e-01,-8.137849999999999806e-01,-1.000000000000000000e+00
7.542127989858388901e+03,-8.848690000000000166e-01,-8.185529999999999751e-01,-1.000000000000000000e+00
7.700937216311693192e+03,-8.837819999999999565e-01,-8.174660000000000259e-01,-1.000000000000000000e+00
7.726865237414836884e+03,-8.761079999999999979e-01,-8.134540000000000104e-01,-1.000000000000000000e+00
7.898638464421033859e+03,-8.289710000000000134e-01,-7.537439999999999696e-01,-1.000000000000000000e+00
8.663515475630760193e+03,-8.289710000000000134e-01,-7.537439999999999696e-01,-1.000000000000000000e+00
8.809360661566257477e+03,-8.259499999999999620e-01,-7.530670000000000419e-01,-1.000000000000000000e+00
8.825565682232379913e+03,-8.365660000000000318e-01,-7.593529999999999447e-01,-1.000000000000000000e+00
8.832047692507505417e+03,-8.980850000000000222e-01,-8.363930000000000531e-01,-1.000000000000000000e+00
9.201522167563438416e+03,-8.963659999999999961e-01,-8.340570000000000483e-01,-1.000000000000000000e+00
9.480248489022254944e+03,-8.927089999999999748e-01,-8.273719999999999963e-01,-1.000000000000000000e+00
9.652021725982427597e+03,-8.355120000000000324e-01,-7.603630000000000111e-01,-1.000000000000000000e+00
9.746010829836130142e+03,-8.268079999999999874e-01,-7.507530000000000037e-01,-1.000000000000000000e+00
1.000529114043712616e+04,-8.970559999999999645e-01,-8.332789999999999919e-01,-1.000000000000000000e+00
1.011224427482485771e+04,-8.879439999999999555e-01,-8.235320000000000418e-01,-1.000000000000000000e+00
1.029374050217866898e+04,-8.727800000000000002e-01,-8.084940000000000460e-01,-1.000000000000000000e+00
1.054329779237508774e+04,-9.299760000000000248e-01,-8.789249999999999563e-01,-1.000000000000000000e+00
1.055626181289553642e+04,-9.329150000000000498e-01,-8.819559999999999622e-01,-1.000000000000000000e+00
1.086415715551376343e+04,-8.867159999999999487e-01,-8.221800000000000219e-01,-1.000000000000000000e+00
1.128224666249752045e+04,-8.740919999999999801e-01,-8.101340000000000208e-01,-1.000000000000000000e+00
